Material charecteristics,Hardness (Shore D),Density (g/cm3),Tensile strength (MPa),Tensile modulus (MPa),Flexure strength (MPa),Flexure modulus (GPa),Impact strength (J/m),Storage modulus (MPa),Loss modulus (MPa),Heat content (J/g),Melting temperature (°C),Crystallinity (%),Ranking 
T0,70,1.28,32.83,989.2,48.4,0.965,70,1938.49,68.87,40.9,220.15,30.52,6
T20,65,1.38,30.58,624.4,41,1.06,60,2505.41,93.72,40.79,220.44,34.38,7
Th1,72.8,1.6,57.84,797.8,80.7,2.52,80,3151.16,109.17,35.16,220.85,33.18,1
Th2,71,1.81,30.16,693.8,51.49,3.03,40.3,4381.81,171.26,31.63,221.47,34.26,3
Th3,70.8,1.82,29.72,555,53.6,6.333,75,4202.05,163.55,30.17,220.73,35.11,2
Th4,70,1.74,32.65,524.2,48.6,2.36,45,3577.1,137.33,30.32,221.69,34.5,4
Th5,70,1.83,31.2,416.3,44.9,1.47,40,3479.36,147.92,29.06,221.7,34.04,5
