Material,Hardness (Shore D),Density (g/cm3),Tensile strength (MPa),Tensile modulus (MPa),Elongation (%),Flexure strength (MPa),Flexure modulus (GPa),Deflection (mm),Impact strength (J/m),Storage modulus (MPa),Loss modulus (MPa),Tan ? (internal damping),Heat content (J/g),Melting temperature (°C),2BAW (SP),Crystallinity (%),2BAW (MP),Crystallization temperature (°C),3BAW,Adhesive wear,Average COF,Ranking 
111,70,1.28,32.83,989.2,16.31,48.4,0.965,18.76,70,1938.49,68.87,0.0752,40.9,220.15,0.135,30.52,0.0325,192.58,0.00225,7,0.52003,4
112,65,1.38,30.58,624.4,18.88,41,1.06,10.54,60,2505.41,93.72,0.076,40.79,220.44,0.083,34.38,0.023,187.68,0.0015,3.3,0.45202,3
113,72.8,1.6,57.84,797.8,16.38,80.7,2.52,8.27,80,3151.16,109.17,0.061,35.16,220.85,0.091,33.18,0.042,189.35,0.0028,2.6,0.3321,1
114,71,1.81,30.16,693.8,9.87,51.49,3.03,4.54,40.3,4381.81,171.26,0.0767,31.63,221.47,0.165,34.26,0.086,191.87,0.0033,1.8,0.34925,6
115,70.8,1.82,29.72,555,10.22,53.6,6.333,5.19,75,4202.05,163.55,0.0739,30.17,220.73,0.139,35.11,0.07,197.64,0.0038,1.7,0.33292,2
116,70,1.74,32.65,524.2,12.69,48.6,2.36,7.54,45,3577.1,137.33,0.0657,30.32,221.69,0.117,34.5,0.06,196.01,0.0024,2.4,0.30663,5
117,70,1.83,31.2,416.3,12.55,44.9,1.47,7.38,40,3479.36,147.92,0.0818,29.06,221.7,0.13,34.04,0.068,192.44,0.0036,2.5,0.30672,7
